09:14:53 INFO    can.interfaces.socketcan.socketcan Created a socket
09:15:35 INFO    autopilot  set heading value to 180.50160940785344.
09:15:35 INFO    autopilot  set heading value to 180.49032239847224.
09:15:35 INFO    autopilot  set heading value to 180.474801190913.
09:15:35 INFO    autopilot  set heading value to 180.46965761752594.
09:15:36 INFO    autopilot  set heading value to 180.456918611127.
09:15:36 INFO    autopilot  set heading value to 180.45289989366512.
09:15:36 INFO    autopilot  set heading value to 180.46198252735786.
09:15:36 INFO    autopilot  set heading value to 180.47740208497743.
09:15:37 INFO    autopilot  set heading value to 180.4844953751836.
09:15:37 INFO    autopilot  set heading value to 180.48444146141304.
09:15:37 INFO    autopilot  set heading value to 180.47996691642552.
09:15:37 INFO    autopilot  set heading value to 180.45711388077146.
09:15:38 INFO    autopilot  set heading value to 180.41414477596604.
09:15:38 INFO    autopilot  set heading value to 180.3676183922505.
09:15:38 INFO    autopilot  set heading value to 180.3279682454681.
09:15:38 INFO    autopilot  set heading value to 180.30911524789758.
09:15:39 INFO    autopilot  set heading value to 180.29903032600623.
09:15:39 INFO    autopilot  set heading value to 180.29497226222924.
09:15:39 INFO    autopilot  set heading value to 180.29512910268892.
09:15:39 INFO    autopilot  set heading value to 180.28855447689637.
09:15:40 INFO    autopilot  set heading value to 180.2911325383473.
09:15:40 INFO    autopilot  set heading value to 180.29577368481353.
09:15:40 INFO    autopilot  set heading value to 180.28958447220992.
09:15:40 INFO    autopilot  set heading value to 180.29017509581362.
09:15:41 INFO    autopilot  set heading value to 180.29488874538245.
09:15:41 INFO    autopilot  set heading value to 180.29688974908666.
09:15:41 INFO    tornado.access 304 GET / (127.0.0.1) 7.72ms
09:15:41 INFO    autopilot  set heading value to 180.30010252572308.
09:15:41 INFO    tornado.access 101 GET /ws (127.0.0.1) 1.99ms
09:15:41 INFO    autopilot  set heading goal to 0.0.
09:15:41 INFO    autopilot  set heading value to 180.30746499329302.
09:15:42 INFO    autopilot  set heading value to 180.32709385698757.
09:15:42 INFO    autopilot  set heading value to 180.32932863011715.
09:15:42 INFO    autopilot  set heading value to 180.32378817710622.
09:15:42 INFO    autopilot  set heading value to 180.3440671099685.
09:15:43 INFO    autopilot  set heading value to 180.36697431867958.
09:15:43 INFO    autopilot  set heading value to 180.3702227862663.
09:15:43 INFO    autopilot  set heading value to 180.3603632365443.
09:15:43 INFO    autopilot  set heading value to 180.3617281349976.
09:15:44 INFO    autopilot  set heading value to 180.3840850604696.
09:15:44 INFO    autopilot  set heading value to 180.41635114011916.
09:15:44 INFO    autopilot  set heading value to 180.4422897965675.
09:15:44 INFO    autopilot  set heading value to 180.45685143484613.
09:15:45 INFO    autopilot  set heading value to 180.47523171948257.
09:15:45 INFO    autopilot  set heading value to 180.49380720920644.
09:15:45 INFO    autopilot  set heading value to 180.51745839984693.
09:15:45 INFO    autopilot  set heading value to 180.54608634807076.
09:15:46 INFO    autopilot  set heading value to 180.57323317032308.
09:15:46 INFO    autopilot  set heading value to 180.59586671598558.
09:15:46 INFO    autopilot  set heading value to 180.63157300592027.
09:15:47 INFO    autopilot  set heading value to 180.6583181494633.
09:15:47 INFO    autopilot  set heading value to 180.67744147615846.
09:15:47 INFO    autopilot  set heading value to 180.70623507279078.
09:15:47 INFO    autopilot  set heading value to 180.73240590470243.
09:15:48 INFO    autopilot  set heading value to 180.75120157862543.
09:15:48 INFO    autopilot  set heading value to 180.75548732063507.
09:15:48 INFO    autopilot  set heading value to 180.74090692711127.
09:15:48 INFO    autopilot  set heading value to 180.72537523095195.
09:15:49 INFO    autopilot  set heading value to 180.69718175333935.
09:15:49 INFO    autopilot  set heading value to 180.66417881558135.
09:15:49 INFO    autopilot  set heading value to 180.6320238555242.
09:15:49 INFO    autopilot  set heading value to 180.5878872653896.
09:15:50 INFO    autopilot  set heading value to 180.54793714254066.
09:15:50 INFO    autopilot  set heading value to 180.50413891014315.
09:15:50 INFO    autopilot  set heading value to 180.45263447743187.
09:15:50 INFO    autopilot  set heading value to 180.41044240508492.
09:15:50 INFO    autopilot  set heading goal to 180.41044240508492.
09:15:51 INFO    autopilot  set heading value to 180.38250136493104.
09:15:51 INFO    autopilot  set heading value to 180.35405206277528.
09:15:51 INFO    autopilot  set heading value to 180.3189182954673.
09:15:51 INFO    autopilot  set heading value to 180.29061794834402.
09:15:52 INFO    autopilot  set heading value to 180.27081295604881.
09:15:52 INFO    autopilot  set heading value to 180.24092203951975.
09:15:52 INFO    autopilot  set heading value to 180.19808918244976.
09:15:52 INFO    autopilot  set heading value to 180.15171713189594.
09:15:53 INFO    autopilot  set heading value to 180.12143366802977.
09:15:53 INFO    autopilot  set heading value to 180.12141438524813.
09:15:53 INFO    autopilot  set heading value to 180.1465166636535.
09:15:53 INFO    autopilot  set heading value to 180.1789015208089.
09:15:54 INFO    autopilot  set heading value to 180.20698083240094.
09:15:54 INFO    autopilot  set heading value to 180.2281353880403.
09:15:54 INFO    autopilot  set heading value to 180.2553862339926.
09:15:54 INFO    autopilot  set heading value to 180.27936589371524.
09:15:55 INFO    CAN        Servo enabled
09:15:55 INFO    CAN        Sent CAN steering goal: 1475.0°  b881168045ffffff
09:15:55 INFO    autopilot  set heading value to 180.2939319815325.
09:15:55 INFO    autopilot  set heading value to 180.30477012427028.
09:15:55 INFO    autopilot  set heading value to 180.31037094351512.
09:15:55 INFO    autopilot  set heading value to 180.31490789850224.
09:15:56 INFO    autopilot  set heading value to 180.3180080646153.
09:15:56 INFO    autopilot  set heading value to 180.3284519456785.
09:15:56 INFO    autopilot  set heading value to 180.34963989614812.
09:15:56 INFO    autopilot  set heading value to 180.374601141959.
09:15:57 INFO    autopilot  set heading value to 180.39606490464055.
09:15:57 INFO    autopilot  set heading value to 180.3992475647234.
09:15:57 INFO    autopilot  set heading value to 180.39238423991407.
09:15:57 INFO    autopilot  set heading value to 180.38136755492104.
09:15:58 INFO    autopilot  set heading value to 180.36614209821624.
09:15:58 INFO    autopilot  set heading value to 180.33308847174183.
09:15:58 INFO    autopilot  set heading value to 180.30644197469644.
09:15:58 INFO    autopilot  set heading value to 180.29354867088145.
09:15:59 INFO    autopilot  set heading value to 180.28997079312018.
09:15:59 INFO    autopilot  set heading value to 180.28549818626306.
09:15:59 INFO    autopilot  set heading value to 180.27413555951546.
09:15:59 INFO    autopilot  set heading value to 180.258471399503.
09:16:00 INFO    autopilot  set heading value to 180.2371695549042.
09:16:00 INFO    autopilot  set heading value to 180.2221161045643.
09:16:00 INFO    autopilot  set heading value to 180.21882484901565.
09:16:00 INFO    autopilot  set heading value to 180.23919884878447.
09:16:01 INFO    autopilot  set heading value to 180.27333791661385.
09:16:01 INFO    autopilot  set heading value to 180.3017892579951.
09:16:01 INFO    autopilot  set heading value to 180.31242064214888.
09:16:02 INFO    autopilot  set heading value to 180.32700217055518.
09:16:02 INFO    autopilot  set heading value to 180.36159329190698.
09:16:02 INFO    autopilot  set heading value to 180.38526998068.
09:16:02 INFO    autopilot  set heading value to 180.39499551322638.
09:16:03 INFO    autopilot  set heading value to 180.43844287656725.
09:16:03 INFO    autopilot  set heading value to 180.5129739884833.
09:16:03 INFO    autopilot  set heading value to 180.56708318751532.
09:16:03 INFO    autopilot  set heading value to 180.59025104108267.
09:16:04 INFO    autopilot  set heading value to 180.59727625192008.
09:16:04 INFO    autopilot  set heading value to 180.59566215224064.
09:16:04 INFO    autopilot  set heading value to 180.58187648536287.
09:16:04 INFO    autopilot  set heading value to 180.55548934999482.
09:16:05 INFO    autopilot  set heading value to 180.51759343846476.
09:16:05 INFO    autopilot  set heading value to 180.4860965179271.
09:16:05 INFO    autopilot  set heading value to 180.4673947030432.
09:16:05 INFO    autopilot  set heading value to 180.45198100369203.
09:16:06 INFO    autopilot  set heading value to 180.4434639990129.
09:16:06 INFO    autopilot  set heading value to 180.4465480736431.
09:16:06 INFO    autopilot  set heading value to 180.46439122703052.
09:16:06 INFO    autopilot  set heading value to 180.4935128125546.
09:16:07 INFO    autopilot  set heading value to 180.52527528039786.
09:16:07 INFO    autopilot  set heading value to 180.54131075646444.
09:16:07 INFO    autopilot  set heading value to 180.543566507434.
09:16:07 INFO    autopilot  set heading value to 180.53371221996173.
